Time,pH,Turbidity,Temperature
2025-07-11 21:02:28,7.9303,1.08924,30.8283
2025-07-11 21:02:30,6.88534,3.07929,28.5398
2025-07-11 21:02:32,6.19898,1.70888,30.2602
2025-07-11 21:02:34,6.52416,3.64071,23.4429
2025-07-11 21:02:36,6.6212,1.16492,27.8289
2025-07-11 21:02:38,7.94983,3.30134,34.5885
2025-07-11 21:02:40,7.13872,2.63225,28.5563
2025-07-11 21:02:42,8.12683,3.89877,26.1045
2025-07-11 21:02:44,7.50319,2.33464,28.6241
2025-07-11 21:02:46,8.2071,2.29008,20.5663
2025-07-11 21:02:48,8.28851,2.33232,20.998
2025-07-11 21:02:50,8.48016,1.32582,34.7688
2025-07-11 21:02:52,8.3854,4.72106,21.2493
2025-07-11 21:02:54,7.68119,2.53008,26.7815
2025-07-11 21:02:56,6.61785,3.16657,20.6977
2025-07-11 21:02:58,7.46252,3.62117,25.2713
2025-07-11 21:03:00,6.37255,4.10947,24.3704
2025-07-11 21:03:02,7.66311,4.82983,32.8187
2025-07-11 21:03:04,6.74168,3.82455,25.4251
2025-07-11 21:03:06,8.42386,1.9772,22.3937
